date,v
1996-05-23 00:00:00+00:00,21724.08
1996-05-24 00:00:00+00:00,21798.43
1996-05-27 00:00:00+00:00,21699.76
1996-05-28 00:00:00+00:00,21944.53
1996-05-29 00:00:00+00:00,22021.5
1996-05-30 00:00:00+00:00,21886.35
1996-05-31 00:00:00+00:00,21956.19
1996-06-03 00:00:00+00:00,21588.52
1996-06-04 00:00:00+00:00,21858.12
1996-06-05 00:00:00+00:00,21881.43
1996-06-06 00:00:00+00:00,21804.46
1996-06-07 00:00:00+00:00,21751.81
1996-06-10 00:00:00+00:00,21719.15
1996-06-11 00:00:00+00:00,21817.62
1996-06-12 00:00:00+00:00,22104.8
1996-06-13 00:00:00+00:00,22082.4
1996-06-14 00:00:00+00:00,22289.39
1996-06-17 00:00:00+00:00,22245.38
1996-06-18 00:00:00+00:00,22332.4
1996-06-19 00:00:00+00:00,22367.36
1996-06-20 00:00:00+00:00,22437.3
1996-06-21 00:00:00+00:00,22530.65
1996-06-24 00:00:00+00:00,22603.2
1996-06-25 00:00:00+00:00,22597.17
1996-06-26 00:00:00+00:00,22666.8
1996-06-27 00:00:00+00:00,22501.61
1996-06-28 00:00:00+00:00,22530.75
1996-07-01 00:00:00+00:00,22455.49
1996-07-02 00:00:00+00:00,22347.97
1996-07-03 00:00:00+00:00,22379.02
1996-07-04 00:00:00+00:00,22292.91
1996-07-05 00:00:00+00:00,22232.42
1996-07-08 00:00:00+00:00,21924.94
1996-07-09 00:00:00+00:00,21919.82
1996-07-10 00:00:00+00:00,21778.94
1996-07-11 00:00:00+00:00,21892.58
1996-07-12 00:00:00+00:00,21656.45
1996-07-15 00:00:00+00:00,21753.42
1996-07-16 00:00:00+00:00,21406.35
1996-07-17 00:00:00+00:00,21412.88
1996-07-18 00:00:00+00:00,21566.42
1996-07-19 00:00:00+00:00,21476.29
1996-07-22 00:00:00+00:00,21005.63
1996-07-23 00:00:00+00:00,21163.69
1996-07-24 00:00:00+00:00,20631.03
1996-07-25 00:00:00+00:00,20883.84
1996-07-26 00:00:00+00:00,21124.9
1996-07-29 00:00:00+00:00,20967.54
1996-07-30 00:00:00+00:00,20880.33
1996-07-31 00:00:00+00:00,20692.83
1996-08-01 00:00:00+00:00,20984.83
1996-08-02 00:00:00+00:00,20940.41
1996-08-05 00:00:00+00:00,21077.47
1996-08-06 00:00:00+00:00,20744.88
1996-08-07 00:00:00+00:00,20477.59
1996-08-08 00:00:00+00:00,20731.31
1996-08-09 00:00:00+00:00,20551.05
1996-08-12 00:00:00+00:00,20666.6
1996-08-13 00:00:00+00:00,20864.95
1996-08-14 00:00:00+00:00,20981.11
1996-08-15 00:00:00+00:00,20968.25
1996-08-16 00:00:00+00:00,20834.0
1996-08-19 00:00:00+00:00,21106.41
1996-08-20 00:00:00+00:00,21127.01
1996-08-21 00:00:00+00:00,21275.02
1996-08-22 00:00:00+00:00,21363.24
1996-08-23 00:00:00+00:00,21228.8
1996-08-26 00:00:00+00:00,20883.74
1996-08-27 00:00:00+00:00,20910.27
1996-08-28 00:00:00+00:00,20709.81
1996-08-29 00:00:00+00:00,20553.16
1996-08-30 00:00:00+00:00,20166.9
1996-09-02 00:00:00+00:00,20107.11
1996-09-03 00:00:00+00:00,20198.15
1996-09-04 00:00:00+00:00,20201.87
1996-09-05 00:00:00+00:00,20379.82
1996-09-06 00:00:00+00:00,20152.53
1996-09-09 00:00:00+00:00,20202.27
1996-09-10 00:00:00+00:00,20559.59
1996-09-11 00:00:00+00:00,20571.04
1996-09-12 00:00:00+00:00,20443.93
1996-09-13 00:00:00+00:00,20842.64
1996-09-17 00:00:00+00:00,21310.59
1996-09-18 00:00:00+00:00,21156.75
1996-09-19 00:00:00+00:00,21322.85
1996-09-20 00:00:00+00:00,21112.24
1996-09-24 00:00:00+00:00,21171.99
1996-09-25 00:00:00+00:00,21350.67
1996-09-26 00:00:00+00:00,21461.37
1996-09-27 00:00:00+00:00,21547.02
1996-09-30 00:00:00+00:00,21556.4
1996-10-01 00:00:00+00:00,21462.97
1996-10-02 00:00:00+00:00,21498.6
1996-10-03 00:00:00+00:00,21331.5
1996-10-04 00:00:00+00:00,21148.03
1996-10-07 00:00:00+00:00,21161.01
